11351564		5483			? crusafonti Begun, 1992	Begun, 1992	? crusafonti	?	crusafonti		unranked			doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	
11368695		5483			? robustus Broom, 1938	Broom, 1938	? robustus	?	robustus		unranked			doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	
9382539		5483			? hungaricus Kretzoi, 1969	Kretzoi, 1969	? hungaricus	?	hungaricus		unranked			doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	
4827070	0938172b-2086-439c-a1dd-c21cb0109ed5	798	5483		Dryopithecidae		Dryopithecidae	Dryopithecidae			family			synonym			Animalia	Chordata	Mammalia	Primates	Hominidae	
10455387		5483			? punjabicus Pilgrim, 1910	Pilgrim, 1910	? punjabicus	?	punjabicus		unranked			doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	
4827662	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Pierolapithecus Moyà-Solà, Köhler, Alba, Casanovas-Vilar & Galindo, 2004	Moyà-Solà, Köhler, Alba, Casanovas-Vilar & Galindo, 2004	Pierolapithecus	Pierolapithecus			genus			accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Pierolapithecus
4827535	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Anoiapithecus Moyà-Solà, Alba, Almécijac, Casanovas-Vilar et al., 2009	Moyà-Solà, Alba, Almécijac, Casanovas-Vilar et al., 2009	Anoiapithecus	Anoiapithecus			genus		Proc. Nat. Acad. Sci. (pre-publication info)	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Anoiapithecus
4827539	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Langsonia Schwartz, Long, Cuong, Kha & Tattersall, 1995	Schwartz, Long, Cuong, Kha & Tattersall, 1995	Langsonia	Langsonia			genus		Anthropol Pap Am Mus Nat Hist 76	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Langsonia
4827671	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Lufengpithecus Wu, 1987	Wu, 1987	Lufengpithecus	Lufengpithecus			genus		Acta Anthropol Sin 6 (4)	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Lufengpithecus
6006361	c8227bb4-4143-443f-8cb2-51f9576aff14	5483			Pithecus Cuvier, 1800	Cuvier, 1800	Pithecus	Pithecus			genus		Cuvier, Georges. 1800. Leçons d'anatomie comparée. Baudouin, Paris. Vol. 1: i-xxxi; 1-521; tabl.1-9.	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Pithecus
2436437	7ddf754f-d193-4cc9-b351-99906754a03b	5483			Pan Oken, 1816	Oken, 1816	Pan	Pan			genus		Lehrb. Naturgesch., ser. 3 vol.2 p.xi	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Pan
11182192	c33ce2f2-c3cc-43a5-a380-fe4526d63650	5483			Danuvius Bohme et al., 2019	Bohme et al., 2019	Danuvius	Danuvius			genus			accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Danuvius
4827658	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Orrorin Senut, Pickford, Gommery, Mein, Cheboi & Coppens, 2001	Senut, Pickford, Gommery, Mein, Cheboi & Coppens, 2001	Orrorin	Orrorin			genus		C R Acad Sci Ser II A Sci Terre Planetes 332 (2), 30 Janvier	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Orrorin
5219531	7be186c4-5572-44e6-9f11-69ddbfd95078	5483			Pongo Lacépède, 1799	Lacépède, 1799	Pongo	Pongo			genus		Tabl. Div. Subd. Orders Genres Mammifères p.4	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo
4827667	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Xenopithecus Hopwood, 1933	Hopwood, 1933	Xenopithecus	Xenopithecus			genus		Ann. Mag. Nat. Hist., (10) 11	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Xenopithecus
4827540	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Ankarapithecus Ozansoy, 1957	Ozansoy, 1957	Ankarapithecus	Ankarapithecus			genus		Bull. Min. Res. Explor. Inst. Ankara No. 49: plate 1 fig. 2 opposite p	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Ankarapithecus
4827694	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Kenyanthropus M.G.Leakey, Spoor, Brown, Gathogo, Kiarie, L.N.Leakey & McDougall, 2001	M.G.Leakey, Spoor, Brown, Gathogo, Kiarie, L.N.Leakey & McDougall, 2001	Kenyanthropus	Kenyanthropus			genus		Nature (Lond) 410 (6827), 22 March	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Kenyanthropus
4827527	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Pythecus Cuvier, 1829	Cuvier, 1829	Pythecus	Pythecus			genus		Dict. Sci. Nat., 59	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Pythecus
4827543	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Limnopithecus Hopwood, 1933	Hopwood, 1933	Limnopithecus	Limnopithecus			genus		Ann. Mag. Nat. Hist., (10) 11	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Limnopithecus
4827546	c8227bb4-4143-443f-8cb2-51f9576aff14	5483			Kalepithecus Harrison, 1988	Harrison, 1988	Kalepithecus	Kalepithecus			genus		Harrison, Terry. 1988. A taxonomic revision of the small catarrhine primates from the Early Miocene of East Africa. Folia Primatologica 50: 59-108.	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Kalepithecus
4827533	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Sugrivapithecus Lewis, 1934	Lewis, 1934	Sugrivapithecus	Sugrivapithecus			genus		Amer. J. Sci., (5) 27	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Sugrivapithecus
4827629	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Ardipithecus White, Suwa & Asfaw, 1995	White, Suwa & Asfaw, 1995	Ardipithecus	Ardipithecus			genus		Nature (Lond) 375 (6526), 4 May	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Ardipithecus
4827545	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Paidopithex Pohlig, 1895	Pohlig, 1895	Paidopithex	Paidopithex			genus		Bull. Soc. Belge Géol., 9, Proc.-Verb.	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Paidopithex
4827538	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Platodontopithecus Gu & Lin, 1983	Gu & Lin, 1983	Platodontopithecus	Platodontopithecus			genus		Acta anthropol. Sin. 2 (4)	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Platodontopithecus
4827697	c8227bb4-4143-443f-8cb2-51f9576aff14	5483			Gigantopithecus von Koenigswald, 1935	von Koenigswald, 1935	Gigantopithecus	Gigantopithecus			genus		von Koenigswald, G. H. R. 1935. Eine fossile Saugetierfauna mit Simia aus Sϋdchina. Proceedings of the Royal Academy of Sciences at Amsterdam 38: 872-879.	accepted			Animalia	Chordata	Mammalia	Primates	Hominidae	Gigantopithecus
9467931	0938172b-2086-439c-a1dd-c21cb0109ed5	5483			Praehominipes Medrum, Lockley, Lucas & Musiba, 2011	Medrum, Lockley, Lucas & Musiba, 2011	Praehominipes	Praehominipes			genus		Article title: Ichnotaxonomy of the Laetoli trackways: The earliest hominin footprints.	doubtful			Animalia	Chordata	Mammalia	Primates	Hominidae	Praehominipes
