TaxonID	dc:source	ScientificName	HigherTaxonID	TaxonRanky	TaxonomicStatus	ScientificNameAuthorship
leptogastrinae:tid:2617	http://leptogastrinae.lifedesks.org/pages/2617	Leptogaster bahamiensis	leptogastrinae:tid:2584	species		Scarbrough, 1996
leptogastrinae:tid:2619	http://leptogastrinae.lifedesks.org/pages/2619	Leptogaster basalis	leptogastrinae:tid:2584	species		Walker, 1855
leptogastrinae:tid:2618	http://leptogastrinae.lifedesks.org/pages/2618	Leptogaster bancrofti	leptogastrinae:tid:2584	species		Ricardo, 1912
leptogastrinae:tid:2612	http://leptogastrinae.lifedesks.org/pages/2612	Leptogaster atridorsalis	leptogastrinae:tid:2584	species		Back, 1909
leptogastrinae:tid:2611	http://leptogastrinae.lifedesks.org/pages/2611	Leptogaster armeniaca	leptogastrinae:tid:2584	species		Paramonov, 1930
leptogastrinae:tid:2606	http://leptogastrinae.lifedesks.org/pages/2606	Leptogaster apicalis	leptogastrinae:tid:2584	species		Enderlein, 1914
leptogastrinae:tid:2605	http://leptogastrinae.lifedesks.org/pages/2605	Leptogaster antiquaria	leptogastrinae:tid:2584	species		Martin, 1964
leptogastrinae:tid:2607	http://leptogastrinae.lifedesks.org/pages/2607	Leptogaster appendiculata	leptogastrinae:tid:2584	species		Hermann, 1917
leptogastrinae:tid:2608	http://leptogastrinae.lifedesks.org/pages/2608	Leptogaster arborcola	leptogastrinae:tid:2584	species		Martin, 1957
leptogastrinae:tid:2610	http://leptogastrinae.lifedesks.org/pages/2610	Leptogaster arida	leptogastrinae:tid:2584	species		Cole in Cole & Lovett, 1919
leptogastrinae:tid:2609	http://leptogastrinae.lifedesks.org/pages/2609	Leptogaster arenicola	leptogastrinae:tid:2584	species		James, 1937
leptogastrinae:tid:2662	http://leptogastrinae.lifedesks.org/pages/2662	Leptogaster cylindrica tesquorum	leptogastrinae:tid:2584	species		
leptogastrinae:tid:2642	http://leptogastrinae.lifedesks.org/pages/2642	Leptogaster concinnata	leptogastrinae:tid:2584	species		Williston, 1901
leptogastrinae:tid:2733	http://leptogastrinae.lifedesks.org/pages/2733	Leptogaster melanomystax	leptogastrinae:tid:2584	species		Janssens, 1954
leptogastrinae:tid:2713	http://leptogastrinae.lifedesks.org/pages/2713	Leptogaster keiseri	leptogastrinae:tid:2584	species		Martin, 1964
leptogastrinae:tid:2714	http://leptogastrinae.lifedesks.org/pages/2714	Leptogaster krada	leptogastrinae:tid:2584	species		Oldroyd, 1960
leptogastrinae:tid:2663	http://leptogastrinae.lifedesks.org/pages/2663	Leptogaster dasyphlebia	leptogastrinae:tid:2584	species		Martin, 1964
leptogastrinae:tid:2732	http://leptogastrinae.lifedesks.org/pages/2732	Leptogaster medicesta	leptogastrinae:tid:2584	species		Martin, 1964
leptogastrinae:tid:2730	http://leptogastrinae.lifedesks.org/pages/2730	Leptogaster martini	leptogastrinae:tid:2584	species		Farr, 1963
leptogastrinae:tid:2731	http://leptogastrinae.lifedesks.org/pages/2731	Leptogaster masaica	leptogastrinae:tid:2584	species		Lindner, 1955
leptogastrinae:tid:2715	http://leptogastrinae.lifedesks.org/pages/2715	Leptogaster lambertoni	leptogastrinae:tid:2584	species		Bromley, 1942
leptogastrinae:tid:2716	http://leptogastrinae.lifedesks.org/pages/2716	Leptogaster lanata	leptogastrinae:tid:2584	species		Martin, 1957
leptogastrinae:tid:2720	http://leptogastrinae.lifedesks.org/pages/2720	Leptogaster linearis	leptogastrinae:tid:2584	species		Becker, 1906
leptogastrinae:tid:2721	http://leptogastrinae.lifedesks.org/pages/2721	Leptogaster lineata	leptogastrinae:tid:2584	species		Scarbrough, 1996
leptogastrinae:tid:2719	http://leptogastrinae.lifedesks.org/pages/2719	Leptogaster lerneri	leptogastrinae:tid:2584	species		Curran, 1953
leptogastrinae:tid:2724	http://leptogastrinae.lifedesks.org/pages/2724	Leptogaster longifurcata	leptogastrinae:tid:2584	species		Meijere, 1914
leptogastrinae:tid:2717	http://leptogastrinae.lifedesks.org/pages/2717	Leptogaster laoshanensis	leptogastrinae:tid:2584	species		Hsia, 1949
leptogastrinae:tid:2718	http://leptogastrinae.lifedesks.org/pages/2718	Leptogaster latestriata	leptogastrinae:tid:2584	species		Becker, 1906
leptogastrinae:tid:2729	http://leptogastrinae.lifedesks.org/pages/2729	Leptogaster maculipennis	leptogastrinae:tid:2584	species		Hsia, 1949
leptogastrinae:tid:2728	http://leptogastrinae.lifedesks.org/pages/2728	Leptogaster macilenta	leptogastrinae:tid:2584	species		Wulp, 1872
leptogastrinae:tid:2706	http://leptogastrinae.lifedesks.org/pages/2706	Leptogaster ochracea	leptogastrinae:tid:2705		synonym	Schiner, 1867
leptogastrinae:tid:2705	http://leptogastrinae.lifedesks.org/pages/2705	Leptogaster incisuralis	leptogastrinae:tid:2584	species		Loew, 1862
leptogastrinae:tid:2704	http://leptogastrinae.lifedesks.org/pages/2704	Leptogaster hyacinthina	leptogastrinae:tid:2584	species		Scarbrough, 1996
leptogastrinae:tid:2725	http://leptogastrinae.lifedesks.org/pages/2725	Leptogaster longitibialis	leptogastrinae:tid:2584	species		Efflatoun, 1937
leptogastrinae:tid:2708	http://leptogastrinae.lifedesks.org/pages/2708	Leptogaster intima	leptogastrinae:tid:2584	species		Williston, 1901
leptogastrinae:tid:2709	http://leptogastrinae.lifedesks.org/pages/2709	Leptogaster jamaicensis	leptogastrinae:tid:2584	species		Farr, 1963
leptogastrinae:tid:2847	http://leptogastrinae.lifedesks.org/pages/2847	Leptogaster kamerlocheri	leptogastrinae:tid:2711		homonym	Schiner, 1866
leptogastrinae:tid:2711	http://leptogastrinae.lifedesks.org/pages/2711	Leptogaster kamerlacheri	leptogastrinae:tid:2584	species		Schiner, 1867
leptogastrinae:tid:2710	http://leptogastrinae.lifedesks.org/pages/2710	Leptogaster judaica	leptogastrinae:tid:2584	species		Janssens, 1969
leptogastrinae:tid:2726	http://leptogastrinae.lifedesks.org/pages/2726	Leptogaster ludens	leptogastrinae:tid:2584	species		Curran, 1927
leptogastrinae:tid:2703	http://leptogastrinae.lifedesks.org/pages/2703	Leptogaster hopehensis	leptogastrinae:tid:2584	species		Hsia, 1949
leptogastrinae:tid:2698	http://leptogastrinae.lifedesks.org/pages/2698	Leptogaster helvola	leptogastrinae:tid:2584	species		Loew, 1871
leptogastrinae:tid:2727	http://leptogastrinae.lifedesks.org/pages/2727	Leptogaster macedo	leptogastrinae:tid:2584	species		Janssens, 1959
leptogastrinae:tid:2699	http://leptogastrinae.lifedesks.org/pages/2699	Leptogaster hermelina	leptogastrinae:tid:2584	species		Janssens, 1954
leptogastrinae:tid:2700	http://leptogastrinae.lifedesks.org/pages/2700	Leptogaster hermonensis	leptogastrinae:tid:2584	species		Theodor, 1980
leptogastrinae:tid:2702	http://leptogastrinae.lifedesks.org/pages/2702	Leptogaster hirtipes	leptogastrinae:tid:2584	species		Coquillett, 1904
leptogastrinae:tid:2701	http://leptogastrinae.lifedesks.org/pages/2701	Leptogaster hesperis	leptogastrinae:tid:2584	species		Martin, 1957
leptogastrinae:tid:2697	http://leptogastrinae.lifedesks.org/pages/2697	Leptogaster hellii	leptogastrinae:tid:2584	species		Unger, 1841
leptogastrinae:tid:2696	http://leptogastrinae.lifedesks.org/pages/2696	Leptogaster guttiventris	leptogastrinae:tid:2584	species		Zetterstedt, 1842
leptogastrinae:tid:2673	http://leptogastrinae.lifedesks.org/pages/2673	Leptogaster eudicrana	leptogastrinae:tid:2584	species		Loew, 1874
leptogastrinae:tid:2723	http://leptogastrinae.lifedesks.org/pages/2723	Leptogaster longicrinita	leptogastrinae:tid:2584	species		Martin, 1964
leptogastrinae:tid:2672	http://leptogastrinae.lifedesks.org/pages/2672	Leptogaster erecta	leptogastrinae:tid:2584	species		Meunier, 1906
leptogastrinae:tid:2674	http://leptogastrinae.lifedesks.org/pages/2674	Leptogaster evanescens	leptogastrinae:tid:2584	species		Janssens, 1954
leptogastrinae:tid:2675	http://leptogastrinae.lifedesks.org/pages/2675	Leptogaster exacta	leptogastrinae:tid:2584	species		Walker, 1862
leptogastrinae:tid:2676	http://leptogastrinae.lifedesks.org/pages/2676	Leptogaster faragi	leptogastrinae:tid:2584	species		Efflatoun, 1937
leptogastrinae:tid:2740	http://leptogastrinae.lifedesks.org/pages/2740	Leptogaster montana	leptogastrinae:tid:2584	species		Theodor, 1980
leptogastrinae:tid:2671	http://leptogastrinae.lifedesks.org/pages/2671	Leptogaster elongata	leptogastrinae:tid:2584	species		Martin, 1964
leptogastrinae:tid:2670	http://leptogastrinae.lifedesks.org/pages/2670	Leptogaster elbaiensis	leptogastrinae:tid:2584	species		Efflatoun, 1937
leptogastrinae:tid:2665	http://leptogastrinae.lifedesks.org/pages/2665	Leptogaster diluta	leptogastrinae:tid:2584	species		Martin, 1964
leptogastrinae:tid:2664	http://leptogastrinae.lifedesks.org/pages/2664	Leptogaster decellei	leptogastrinae:tid:2584	species		Oldroyd, 1968
leptogastrinae:tid:2666	http://leptogastrinae.lifedesks.org/pages/2666	Leptogaster dissimilis	leptogastrinae:tid:2584	species		Ricardo, 1912
leptogastrinae:tid:2667	http://leptogastrinae.lifedesks.org/pages/2667	Leptogaster distincta	leptogastrinae:tid:2584	species		Schiner, 1867
leptogastrinae:tid:2669	http://leptogastrinae.lifedesks.org/pages/2669	Leptogaster dorsopicta	leptogastrinae:tid:2584	species		Hsia, 1949
leptogastrinae:tid:2668	http://leptogastrinae.lifedesks.org/pages/2668	Leptogaster doleschalli	leptogastrinae:tid:2584	species		Oldroyd, 1975
leptogastrinae:tid:2712	http://leptogastrinae.lifedesks.org/pages/2712	Leptogaster kashgarica	leptogastrinae:tid:2584	species		Paramonov, 1930
leptogastrinae:tid:2735	http://leptogastrinae.lifedesks.org/pages/2735	Leptogaster formosana	leptogastrinae:tid:2734		synonym	Enderlein, 1914
leptogastrinae:tid:2736	http://leptogastrinae.lifedesks.org/pages/2736	Leptogaster levis	leptogastrinae:tid:2734		synonym	Wulp, 1872
leptogastrinae:tid:2737	http://leptogastrinae.lifedesks.org/pages/2737	Leptogaster tarsalis	leptogastrinae:tid:2734		synonym	Walker, 1861
leptogastrinae:tid:2738	http://leptogastrinae.lifedesks.org/pages/2738	Leptogaster varipes	leptogastrinae:tid:2734		synonym	Wulp, 1880
leptogastrinae:tid:2850	http://leptogastrinae.lifedesks.org/pages/2850	Leptogaster occlusa	leptogastrinae:tid:2734		synonym	Meijere, 1914
